cert,level,product,role,subject,renewal_frequency,last_updated,retirement_date,overview,skills_measured
azure-administrator,Intermediate,Azure,Administrator,,12 months,10/26/2023,,"As a candidate for this certification, you should have subject matter expertise in implementing, managing, and monitoring an organization’s Azure environment, including: Virtual networksStorageComputeIdentitySecurityGovernance As an Azure administrator, you often serve as part of a larger team dedicated to implementing an organization's cloud infrastructure. You also coordinate with other roles to deliver Azure networking, security, database, application development, and DevOps solutions. You should be familiar with: Operating systemsNetworkingServersVirtualization In addition, you should have experience with: PowerShellAzure CLIThe Azure portalAzure Resource Manager templatesMicrosoft Entra ID","Manage Azure identities and governance, Implement and manage storage, Deploy and manage Azure compute resources, Implement and manage virtual networking, Monitor and maintain Azure resources"
azure-ai-engineer,Intermediate,Azure,AI Engineer,Artificial intelligence,12 months,7/25/2024,,"As a Microsoft Azure AI engineer, you build, manage, and deploy AI solutions that leverage Azure AI. Your responsibilities include participating in all phases of AI solutions development, including: Requirements definition and designDevelopmentDeploymentIntegrationMaintenancePerformance tuningMonitoring You work with solution architects to translate their vision. You also work with data scientists, data engineers, Internet of Things (IoT) specialists, infrastructure administrators, and other software developers to: Build complete and secure end-to-end AI solutions.Integrate AI capabilities in other applications and solutions. As an Azure AI engineer, you have experience developing solutions that use languages such as: PythonC# You should be able to use Representational State Transfer (REST) APIs and SDKs to build secure image processing, video processing, natural language processing, knowledge mining, and generative AI solutions on Azure. You should: Understand the components that make up the Azure AI portfolio and the available data storage options.Be able to apply responsible AI principles.","Plan and manage an Azure AI solution, Implement content moderation solutions, Implement computer vision solutions, Implement natural language processing solutions, Implement knowledge mining and document intelligence solutions, Implement generative AI solutions"
azure-ai-fundamentals,Beginner,Azure,AI Engineer,Artificial intelligence,,4/25/2024,,"This certification is an opportunity for you to demonstrate knowledge of machine learning and AI concepts and related Microsoft Azure services. As a candidate for this certification, you should have familiarity with the self-paced or instructor-led learning material. This certification is intended for you if you have both technical and non-technical backgrounds. Data science and software engineering experience are not required. However, you would benefit from having awareness of: Basic cloud conceptsClient-server applications You can use Azure AI Fundamentals to prepare for other Azure role-based certifications like Azure Data Scientist Associate or Azure AI Engineer Associate, but it’s not a prerequisite for any of them. You may be eligible for ACE college credit if you pass this certification. SeeACE college credit for certification examsfor details.","Describe Artificial Intelligence workloads and considerations, Describe fundamental principles of machine learning on Azure, Describe features of computer vision workloads on Azure, Describe features of Natural Language Processing (NLP) workloads on Azure, Describe features of generative AI workloads on Azure"
azure-cosmos-db-developer-specialty,Intermediate,Azure,Developer,Data management,12 months,7/25/2024,,"As a candidate for this certification, you should have subject matter expertise designing, implementing, and monitoring cloud-native applications that store and manage data. Your responsibilities for this role include: Designing and implementing data models and data distribution.Loading data into an Azure Cosmos DB database.Optimizing and maintaining the solution. As a professional in this role, you integrate the solution with other Azure services. You also design, implement, and monitor solutions that consider security, availability, resilience, and performance requirements. As a candidate for this certification, you must have solid knowledge and experience with: Developing apps for Azure.Working with Azure Cosmos DB database technologies.Creating server-side objects with JavaScript. You should be proficient at developing applications that use the Azure Cosmos DB for NoSQL API. You should be able to: Write efficient SQL queries for the API.Create appropriate indexing policies.Interpret JSON.Read C# or Java code.Use PowerShell. Additionally, you should be familiar with provisioning and managing resources in Azure.","Design and implement data models, Design and implement data distribution, Integrate an Azure Cosmos DB solution, Optimize an Azure Cosmos DB solution, Maintain an Azure Cosmos DB solution"
azure-data-engineer,Intermediate,Azure,Data Engineer,Data engineering,12 months,7/25/2024,,"As a candidate for this certification, you should have subject matter expertise in integrating, transforming, and consolidating data from various structured, unstructured, and streaming data systems into a suitable schema for building analytics solutions. As an Azure data engineer, you help stakeholders understand the data through exploration, and build and maintain secure and compliant data processing pipelines by using different tools and techniques. You use various Azure data services and frameworks to store and produce cleansed and enhanced datasets for analysis. This data store can be designed with different architecture patterns based on business requirements, including: Modern data warehouse (MDW)Big dataLakehouse architecture As an Azure data engineer, you also help to ensure that the operationalization of data pipelines and data stores are high-performing, efficient, organized, and reliable, given a set of business requirements and constraints. You help to identify and troubleshoot operational and data quality issues. You also design, implement, monitor, and optimize data platforms to meet the data pipelines. As a candidate for this certification, you must have solid knowledge of data processing languages, including: SQLPythonScala You need to understand parallel processing and data architecture patterns. You should be proficient in using the following to create data processing solutions: Azure Data FactoryAzure Synapse AnalyticsAzure Stream AnalyticsAzure Event HubsAzure Data Lake StorageAzure Databricks","Design and implement data storage, Develop data processing, Secure, monitor, and optimize data storage and data processing"
azure-data-fundamentals,Beginner,Azure,Data Engineer,Databases,,2/1/2024,,"This certification is an opportunity to demonstrate your knowledge of core data concepts and related Microsoft Azure data services. As a candidate for this certification, you should have familiarity with Exam DP-900’s self-paced or instructor-led learning material. This certification is intended for you, if you’re a candidate beginning to work with data in the cloud. You should be familiar with: The concepts of relational and non-relational data.Different types of data workloads such as transactional or analytical. You can use Azure Data Fundamentals to prepare for other Azure role-based certifications like Azure Database Administrator Associate or Azure Data Engineer Associate, but it is not a prerequisite for any of them. You may be eligible for ACE college credit if you pass this certification. SeeACE college credit for certification examsfor details.","Describe core data concepts, Identify considerations for relational data on Azure, Describe considerations for working with non-relational data on Azure, Describe an analytics workload on Azure"
azure-data-scientist,Intermediate,Azure,Data Scientist,Machine learning,12 months,7/17/2024,,"As a candidate for this certification, you should have subject matter expertise in applying data science and machine learning to implement and run machine learning workloads on Azure. Your responsibilities for this role include: Designing and creating a suitable working environment for data science workloads.Exploring data.Training machine learning models.Implementing pipelines.Running jobs to prepare for production.Managing, deploying, and monitoring scalable machine learning solutions. As a candidate for this certification, you should have knowledge and experience in data science by using: Azure Machine LearningMLflow","Design and prepare a machine learning solution, Explore data and train models, Prepare a model for deployment, Deploy and retrain a model"
azure-database-administrator-associate,Intermediate,Azure,Database Administrator,Databases,12 months,7/26/2024,,"As a candidate for this certification, you should have subject matter expertise in building database solutions that are designed to support multiple workloads built with: SQL Server on-premisesAzure SQL services You’re a database administrator who manages on-premises and cloud databases built with SQL Server and Azure SQL services. As the Azure database administrator, you implement and manage the operational aspects of cloud-native and hybrid data platform solutions built on SQL Server and Azure SQL services. You use a variety of methods and tools to perform and automate day-to-day operations, including applying knowledge of using Transact-SQL (T-SQL) and other tools for administrative management purposes. You’re responsible for the following concerning database solutions: ManagementAvailabilitySecurityPerformance monitoring and optimization You evaluate and implement migration strategies for moving databases between Azure and on-premises. Plus, you work with Azure data engineers, Azure solution architects, Azure developers, data scientists, and other professionals to manage operational aspects of data platform solutions. As a candidate for this certification, you should have knowledge of and experience with: Azure SQL DatabaseAzure SQL Managed InstanceSQL Server on Azure Virtual Machines (Windows and Linux)","Plan and implement data platform resources, Implement a secure environment, Monitor, configure, and optimize database resources, Configure and manage automation of tasks, Plan and configure a high availability and disaster recovery (HA/DR) environment"
azure-developer,Intermediate,Azure,Developer,Application development,12 months,7/26/2024,,"As a candidate for this certification, you’re responsible for participating in all phases of development, including requirements gathering, design, development, deployment, security, maintenance, performance tuning, and monitoring. You should be proficient in Azure: SDKData storage optionsData connectionsAPIsApp authentication and authorizationCompute and container deploymentDebugging To implement solutions, you partner with: Cloud solution architectsDBAsDevOpsInfrastructure adminsOther stakeholders You should have: Two years of programming experience.Proficiency in programming with Azure SDKs.Proficiency using Azure CLI, Azure PowerShell, and other tools.","Develop Azure compute solutions, Develop for Azure storage, Implement Azure security, Monitor, troubleshoot, and optimize Azure solutions, Connect to and consume Azure services and third-party services"
azure-for-sap-workloads-specialty,Intermediate,Azure,Solution Architect,Technical infrastructure,12 months,7/23/2024,,"As a candidate for this certification, you’re an architect or engineer with extensive experience and knowledge of the systems applications and products (SAP) system landscape and industry standards that are specific to the initial migration or integration and the long-term operation of an SAP solution on Microsoft Azure. As an architect or engineer for Azure for SAP Workloads, you’re responsible for: Making recommendations on services.Adjusting resources as appropriate for optimal resiliency, performance, scale, provision, size, and monitoring. In these roles, you implement solutions by partnering with: Cloud administratorsCloud database administratorsClients You should have extensive experience and knowledge of the following applications and services: SAP high-performance Analytic Appliance (HANA), SAP Business Suite 4 (S/4) HANA, SAP NetWeaver, SAP Business Warehouse 4 (BW/4) HANA, servers for SAP applications and databases, Azure portal, Azure Marketplace, and Azure Resource Manager templates. You should also have experience with: VirtualizationCloud infrastructureStorage structuresHigh availability designDisaster recovery designData protection conceptsNetworking For this exam, we strongly recommend that candidates have an Azure Administrator Associate certification.","Migrate SAP workloads to Azure, Design and implement an infrastructure to support SAP workloads on Azure, Design and implement high availability and disaster recovery (HA/DR), Maintain SAP workloads on Azure"
